,category,group,year,num,dem_margin,turnout
81,state,KS,2008,1235872.0,-0.14960287149478263,0.6232224847266942
82,state,KS,2012,1156254.0,-0.21612984690215126,0.5657373519913886
83,state,KS,2016,1184403.0,-0.20602193679009595,0.5700905384656113
84,state,KS,2020,1334330.0,-0.15151499254307405,0.6422551346043696
85,state,KY,2004,1795860.0,-0.1986268417359928,0.5657561671757084
86,state,KY,2008,1826508.0,-0.16231902625118533,0.5754113156904039
87,state,KY,2012,1797212.0,-0.22691813764875818,0.5476675072183327
88,state,KY,2016,1924149.0,-0.29837450218252326,0.5764057414433292
89,state,KY,2020,2135193.0,-0.2595193970755805,0.6396269230135537
90,state,LA,2004,1913268.0,-0.1422848236629683,0.597576919833464
91,state,LA,2008,1959085.0,-0.1870470142949387,0.6066687311295192
92,state,LA,2012,1994065.0,-0.17207112105172098,0.5889929258170755
93,state,LA,2016,2029032.0,-0.19639118555054824,0.5876567953080878
94,state,LA,2020,2148062.0,-0.18609425612482322,0.6221307653319817
95,state,MA,2004,2912388.0,0.25157739971459847,0.6301864991009354
96,state,MA,2008,3081336.0,0.2580757178055233,0.6667436984336153
97,state,MA,2012,3167767.0,0.2313857048198305,0.6599693325027552
98,state,MA,2016,3274555.0,0.2761605775441243,0.6595695396586088
99,state,MA,2020,3500056.0,0.3274639034346879,0.704990548242235
100,state,MD,2004,2386678.0,0.12979966296249432,0.6068316545957745
101,state,MD,2008,2631596.0,0.2544482511753324,0.6691039825680807
102,state,MD,2012,2707327.0,0.26076458440373107,0.6535545864599942
103,state,MD,2016,2781446.0,0.26416439506645106,0.6525554911681005
104,state,MD,2020,2917146.0,0.3245836855611615,0.6843920898838445
105,state,ME,2004,686510.0,0.08034260243842041,0.6733791074055909
106,state,ME,2008,731163.0,0.17321718960067728,0.7171780284453163
107,state,ME,2012,710126.0,0.15182798545610215,0.6799823810481361
108,state,ME,2016,743941.0,0.026578720624350585,0.7021325191473698
109,state,ME,2020,786337.0,0.09971297293653993,0.7421459211265213
110,state,MI,2004,4839252.0,0.034186481712463,0.6603962990256285
111,state,MI,2008,5001766.0,0.16472981742848425,0.682574033134092
112,state,MI,2012,4730961.0,0.09497288183098529,0.6438731514522991
113,state,MI,2016,4799284.0,-0.002230332691293118,0.6422457331124393
114,state,MI,2020,5533254.0,0.02664092412891221,0.7404664470215425
115,state,MN,2004,2827850.0,0.03476139116289761,0.7517648669520938
116,state,MN,2008,2910369.0,0.10237361654140764,0.7737019870454579
117,state,MN,2012,2936561.0,0.07694102046577612,0.7490262096337079
118,state,MN,2016,2944813.0,0.015201304802715827,0.7294060969341944
119,state,MN,2020,3268372.0,0.07115530300712404,0.8095490151153935
120,state,MO,2004,2589941.0,-0.10235986070725163,0.5926652006068663
121,state,MO,2008,2771986.0,-0.0332436743908519,0.6343231906709169
122,state,MO,2012,2620510.0,-0.12776329798398023,0.5819469443182941
123,state,MO,2016,2678780.0,-0.2226849535982798,0.5841225122601663
124,state,MO,2020,3010316.0,-0.1557966007555353,0.6564157357517134
125,state,MS,2004,1114859.0,-0.2029503282477874,0.5245481963140536
126,state,MS,2008,1285259.0,-0.13214068137239265,0.6047224718519599
127,state,MS,2012,1285584.0,-0.1149648719959178,0.5839555577762535
128,state,MS,2016,1209357.0,-0.1782624981705154,0.5426374084934255
129,state,MS,2020,1260790.0,-0.18726512742010962,0.5657153497721731
130,state,MT,2004,450434.0,-0.20503114773751538,0.6178835245783578
131,state,MT,2008,494668.0,-0.0224595081953957,0.6797738063336976
132,state,MT,2012,483932.0,-0.13656670771926635,0.6252189865894938
133,state,MT,2016,497147.0,-0.2042273210941633,0.6181421430880562
134,state,MT,2020,605387.0,-0.16278512752999322,0.7530485188110684
135,state,NC,2004,3501007.0,-0.12434051117292824,0.5420698635460681
136,state,NC,2008,4310789.0,0.003288725103455539,0.6674504806776711
137,state,NC,2012,4505372.0,-0.020420955250753988,0.6422281838630862
138,state,NC,2016,4741564.0,-0.0365522852797094,0.6396135526367263
139,state,NC,2020,5522618.0,-0.013277217435643748,0.7449738775719429
140,state,ND,2004,312833.0,-0.2736252249602823,0.639956222447247
141,state,ND,2008,316621.0,-0.0862956026290107,0.6477052584205304
142,state,ND,2012,322932.0,-0.19618371669577497,0.6029744288741796
143,state,ND,2016,344360.0,-0.3572888837263329,0.6120323469297076
144,state,ND,2020,361808.0,-0.333558130279043,0.6430427441571137
145,state,NE,2004,777920.0,-0.33200071986836693,0.6132815117603699
146,state,NE,2008,801018.0,-0.14916269047636882,0.631491065903008
147,state,NE,2012,794379.0,-0.21775877761119064,0.599764436743338
148,state,NE,2016,844187.0,-0.2504978162421359,0.6212716320590519
149,state,NE,2020,946256.0,-0.19219217632437732,0.696388370663929
150,state,NH,2004,677662.0,0.0136852885361729,0.6870052716950528
151,state,NH,2008,710970.0,0.0960546858517237,0.720772506082725
152,state,NH,2012,710931.0,0.05576209224242578,0.7013609301086673
153,state,NH,2016,744296.0,0.0036759568773713685,0.710067210135422
154,state,NH,2020,804453.0,0.07368609477495888,0.7674577014992296
155,state,NJ,2004,3609691.0,0.06743707425372421,0.6210242443844968
156,state,NJ,2008,3838498.0,0.1568881890781238,0.6603890249944946
157,state,NJ,2012,3640292.0,0.17787941187135536,0.6064293008464341
158,state,NJ,2016,3874046.0,0.14102697799664743,0.6332613553332102
