category,group,year,num,dem_margin,turnout
state,WV,2016,721610.0,-0.4167805324205596,0.4938681398552773
state,WY,2004,243428.0,-0.3978712391343642,0.6243344447294178
state,WY,2008,254658.0,-0.3223539020961446,0.6531367017183893
state,WY,2012,249061.0,-0.4082373394469628,0.5656736113161522
state,WY,2016,258788.0,-0.4576951017821537,0.5765167683266427
race,Non-Hispanic White,2012,95260480.271,-0.14,0.6409999999999999
race,Non-Hispanic Black,2012,17320087.322,0.94,0.664
race,Hispanic,2012,10857368.172,0.46,0.48
race,Other,2012,5816447.2349999985,0.22,0.49
race,Non-Hispanic White,2008,99991045.469,-0.12,0.6609999999999999
race,Non-Hispanic Black,2008,16250183.012,1.0,0.652
race,Hispanic,2008,9697689.862000002,0.46,0.499
race,Other,2008,5110944.657,0.64,0.495
race,Non-Hispanic White,2004,96796006.56,-0.16,0.672
race,Non-Hispanic Black,2004,13688324.159999998,0.78,0.603
race,Hispanic,2004,7333030.8,0.22,0.472
race,Other,2004,4399818.48,-0.28,0.48
race,Non-Hispanic White,2016,100179568.858,-0.1442,0.653
race,Non-Hispanic Black,2016,16947157.624,0.8361,0.593
race,Hispanic,2016,12573697.592,0.4475,0.476
race,Other,2016,6833531.300000002,0.2585,0.49
sex,male,2004,63540711.88200001,-0.0132,0.621
sex,female,2004,58676468.118,-0.1003,0.654
sex,male,2008,56325231.11740001,0.0371,0.615
sex,female,2008,74724631.88260001,0.1382,0.657
sex,male,2012,61912849.457,0.0166,0.597
sex,female,2012,67341533.543,0.1188,0.637
sex,male,2016,63251165.7128,-0.0142,0.593
sex,female,2016,71724744.5248,0.1018,0.633
age,17 - 29,2004,15106043.447999999,0.0167,0.49
age,30 - 44,2004,31263154.644000005,0.2084,0.624
age,45 - 59,2004,39427262.268,-0.1588,0.7
age,60 +,2004,36420719.64,-0.1097,0.7140000000000001
age,17 - 29,2008,18504240.6556,0.3457,0.511
age,30 - 44,2008,35121363.284,0.2785,0.618
age,45 - 59,2008,32893515.613,0.1388,0.685
age,60 +,2008,44530743.4474,0.0397,0.708
age,17 - 29,2012,18018060.9902,0.2873,0.45
age,30 - 44,2012,34149007.9886,0.2034,0.595
age,45 - 59,2012,38246371.9297,0.0649,0.669
age,60 +,2012,38828016.6532,0.0825,0.718
age,17 - 29,2016,23685019.4858,0.1968,0.461
age,30 - 44,2016,33566305.7456,0.2092,0.588
age,45 - 59,2016,46222005.7132,-0.0331,0.659
age,60 +,2016,33183627.9928,-0.0194,0.703
education,High School Grad,2004,36249615.588,-0.1865,0.564
education,Less Than High School,2004,5756429.177999999,0.3044,0.395
education,Some College to Post-Graduate,2004,80211135.234,-0.0214,0.7488
education,High School Grad,2008,44596268.3789,0.1751,0.5489999999999999
education,Less Than High School,2008,1913327.9998,0.5163,0.394
education,Some College to Post-Graduate,2008,84042277.1419,0.0418,0.74
education,High School Grad,2012,42860753.4028,0.1007,0.526
education,Less Than High School,2012,1744934.1705,0.4084,0.38
education,Some College to Post-Graduate,2012,83330300.7201,0.0452,0.713
education,Less Than High School,2016,1189034.4462,0.4447,0.343
education,High School Grad,2016,41752876.243,-0.0369,0.516
education,Some College to Post-Graduate,2016,93728715.3108,0.0832,0.7059
density,High Density,2004,6984120.0,0.5037771401407765,0.5419430232436331
density,High Density,2008,7507801.0,0.5940004270225063,0.5825788176393836
density,High Density,2012,7207595.0,0.605150955346409,0.4547122360866356
density,High Density,2016,7762299.0,0.6119944619499971,0.4767662196689753
density,Low Density,2004,58580052.0,-0.02071857157108703,0.5996551320678348
density,Low Density,2008,63710930.0,0.08711798744736578,0.6528358211555169
density,Low Density,2012,63409537.0,0.05431725514728171,0.5563208134734814
density,Low Density,2016,67528198.0,0.05711933850211729,0.5622070615324367
density,Medium Density,2004,17846861.0,0.11981199382905487,0.6074276106538058
density,Medium Density,2008,19046743.0,0.23529440177777375,0.6482662464411585
density,Medium Density,2012,18541350.0,0.2260258287557271,0.5166679173727026
density,Medium Density,2016,19403313.0,0.2747315883632862,0.5182287348831246
density,Very Low Density,2004,38806147.0,-0.19143691333231305,0.56859853168916
density,Very Low Density,2008,40784389.0,-0.12191799661385146,0.5982367059134014
density,Very Low Density,2012,40092756.0,-0.1749983463346845,0.5369314256601108
density,Very Low Density,2016,41973920.0,-0.2638811195142126,0.5491030022859756
